"","theaters","reviews","series","budget","studio","boxoffice_earnings"
"1",1049,3,0,63.4002837081289,"warner_bros",10565.8210022152
"2",980,2,1,77.1342761765854,"warner_bros",9927.70849433319
"3",993,5,0,48.2603208297447,"warner_bros",10062.053639332
"4",951,6,0,47.3431508515475,"warner_bros",9744.13185792175
"5",1037,10,0,53.0110989112599,"warner_bros",10512.2023757149
"6",974,4,0,56.0907402042202,"warner_bros",9903.60188943578
"7",938,6,0,45.6581601232012,"warner_bros",9570.04022547054
"8",998,6,0,74.8682108355833,"warner_bros",10147.572008439
"9",993,10,0,38.9382786170263,"warner_bros",10210.0772842909
"10",976,4,0,57.2932233882406,"warner_bros",9847.45557978437
"11",1015,7,0,91.6397392330745,"warner_bros",10349.1305038003
"12",937,3,0,52.2778017934708,"warner_bros",9500.16790836935
"13",1027,7,0,48.0660682482655,"warner_bros",10518.4383835483
"14",1010,10,0,33.007245839329,"warner_bros",10409.6457567317
"15",967,4,0,58.894047548989,"warner_bros",9860.38620316568
"16",952,9,0,50.8994414271499,"warner_bros",9764.72786589318
"17",1006,8,0,54.3917407467813,"warner_bros",10295.3540476718
"18",1010,2,0,33.216122695205,"warner_bros",10182.9131027616
"19",973,4,1,48.1926949276925,"warner_bros",9893.70714297483
"20",1048,10,0,49.663509457889,"warner_bros",10756.8031645389
"21",980,5,0,83.1593389769831,"warner_bros",9954.57190517194
"22",999,3,0,63.1615867231316,"warner_bros",10040.1537913682
"23",1006,8,0,53.3300887981623,"warner_bros",10267.4469838513
"24",990,6,0,-1.04288831166778,"warner_bros",10109.3605567256
"25",971,8,0,67.9891358659926,"warner_bros",9781.61602552621
"26",1056,4,0,80.4132476082753,"warner_bros",10685.9385777801
"27",991,9,0,5.72296797755492,"warner_bros",10085.3040851335
"28",993,9,0,52.3041181865013,"warner_bros",10119.161740459
"29",996,6,0,55.0214332191033,"warner_bros",10147.2181726109
"30",967,4,0,32.8355701910691,"warner_bros",9845.5086144776
"31",1024,4,0,51.090795199488,"warner_bros",10323.3713798664
"32",1004,8,0,80.5752593697449,"warner_bros",10203.1845507687
"33",977,10,0,40.6715693013438,"warner_bros",10079.2466834312
"34",978,7,0,48.3288597959305,"warner_bros",9999.21727707605
"35",1013,6,0,60.4224286491353,"warner_bros",10317.562476883
"36",1025,0,0,43.1587943018381,"warner_bros",10319.4557268793
"37",982,3,1,63.1304974404384,"warner_bros",9919.38828841416
"38",1027,3,0,65.5127422149007,"warner_bros",10387.4032631525
